#Regioni	PLAreaNonCritica(27/1)	PL in TI(8/10)	Stima TI(10/09/2021) 
Piemonte	6794	628	628
ValledAosta	143	33	33
Lombardia	10457	1530	1530
Veneto		6000	1000	1000
FVG		1277	175	175
Liguria		1824	217	226
Emilia-Romagna	9001	889	889
Toscana		5033	570	570
Umbria		662	91	127
Marche		1012	212	209
Lazio		6421	943	1186
Abruzzo		1354	177	176
Molise		176	36	39
Campania	4473	555	743
Puglia		2882	482	528
Basilicata	351	88	62
Calabria	1090	172	169
Sicilia		3810	885	840
Sardegna	1602	204	204
P.A.Bolzano	500	100	80
P.A.Trento	517	90	90
